Sales.Id;Sales.date;Sales.price;Sales.property_type;Sales.surface;Sales.longitude;Sales.latitude;Sales.postcodes;Sales.area;Sales.bathrooms;Sales.beds;Sales.ber_id;Sales.parking;Sales.description;Sales.central_heating;Sales.alarm;Sales.gas_heating;Sales.oil_heating;attic.conversion;ensuites;PriceHistory.date0;PriceHistory.price0;PriceHistory.date1;PriceHistory.price1;PriceHistory.date2;PriceHistory.price2;PriceHistory.date3;PriceHistory.price3;PriceHistory.date4;PriceHistory.price4;PriceHistory.date5;PriceHistory.price5;PriceHistory.date6;PriceHistory.price6;PriceHistory.date7;PriceHistory.price7;PriceHistory.date8;PriceHistory.price8;PriceHistory.date9;PriceHistory.price9;PriceHistory.date10;PriceHistory.price10;PriceHistory.date11;PriceHistory.price11;PriceHistory.date12;PriceHistory.price12;PriceHistory.date13;PriceHistory.price13;PriceHistory.date14;PriceHistory.price14;PriceHistory.date15;PriceHistory.price15
244453;"2017-04-10 00:00:00;"450000;"Residential Sale;"243.0;"-9.5067641;"52.0517308;";"Killarney;"3;"4;"D1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253690;"2017-07-06 00:00:00;"70000;"Residential Sale;"243.9;"-8.9387081;"51.7367917;";"Charleville;"2;"5;"F;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251119;"2017-06-16 00:00:00;"55000;"Residential Sale;"243.9;"-9.4591783;"51.563153;";"Charleville;"2;"5;"F;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249254;"2017-05-17 00:00:00;"215000;"Residential Sale;"151.0;"-8.8910386;"53.4826516;";"Ruan;"1;"4;"C3;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";195000.0;2017-05-06;185000.0;2018-07-05;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252878;"2017-06-27 00:00:00;"360000;"Residential Sale;"241.548;"-8.3075802;"54.855999;";"Lettermacaward;"5;"6;"C1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
242049;"2017-03-27 00:00:00;"157000;"Residential Sale;"119.8;"-7.9358697;"52.2668441;";"Doon;"1;"3;"D2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250869;"2017-06-15 00:00:00;"895000;"Residential Sale;"144.0;"-6.2054494;"53.2994091;";"Mount Merrion;"2;"4;"F;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
241233;"2017-03-16 00:00:00;"115000;"Residential Sale;"115.07;"-6.7334778;"54.1181973;"A75 D744;"Bailieborough;"1;"4;"F;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250933;"2017-06-15 00:00:00;"240000;"Residential Sale;"180.26;"-9.14939975738525;"53.1154098510742;";"Ballyvaughan;"3;"3;"B3;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251494;"2017-06-22 00:00:00;"137000;"Residential Sale;"102.2;"-9.065208;"52.453457;"V42 R504;"Newcastle West;"3;"3;"B2;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246772;"2017-05-04 00:00:00;"619998;"Residential Sale;"124.0;"-6.34208;"53.3713399;"Dublin 15;"Castleknock;"3;"4;"A3;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253577;"2017-07-05 00:00:00;"240000;"Residential Sale;"300.0;"-9.0298376;"53.4131139;";"Loughgeorge;"3;"4;"C2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
252532;"2017-06-16 00:00:00;"690000;"Residential Sale;"310.0;"-8.4737977;"51.9035481;";"Carrigaline;"4;"6;"D2;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253185;"2017-06-30 00:00:00;"255000;"Residential Sale;"0.1858;"-6.2392643;"52.6324629;"Y25 Y960;"Ardamine;"2;"4;"B3;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
253617;"2017-07-06 00:00:00;"211000;"Residential Sale;"70.0;"-6.3959079;"53.3846475;"Dublin 15;"Blanchardstown;"2;"2;"B3;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
246918;"2017-05-05 00:00:00;"240000;"Residential Sale;"134.0;"-9.5623073;"51.7443304;";"Glengarriff;"1;"2;"E1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
249639;"2017-06-02 00:00:00;"177500;"Residential Sale;"95.0;"-8.7460358;"52.6466036;";"Patrickswell;"2;"2;"B1;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
248827;"2017-05-22 00:00:00;"160000;"Residential Sale;"148.6;"-9.0033361;"53.7260989;";"Claremorris;"3;"4;"C3;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";159000.0;2018-01-17;150000.0;2017-05-12;;;;;;;;;;;;;;;;;;;;;;;;;;;;
225009;"2016-10-21 00:00:00;"165000;"Residential Sale;"112.0;"-10.0447464;"53.5110868;";"Clifden;"2;"3;"C1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
254529;"2017-06-26 00:00:00;"1099998;"Residential Sale;"300.0;"-6.1600731;"53.2686823;"D18 X5W6;"Foxrock;"6;"5;"A2;"False;"New Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
251207;"2017-06-19 00:00:00;"94000;"Residential Sale;"123.0;"-7.7691654;"54.810901;"F93 P2X4;"Stranorlar;"2;"4;"D1;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
250586;"2017-06-09 00:00:00;"42000;"Residential Sale;"63.0;"-7.9551312;"52.752538;"E41 YD35;"Thurles;"1;"2;"G;"False;"Second-Hand Dwelling house /Apartment;"False;"False;"False;"False;"False;"False";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
