Postal code;City Name
BT54;Maghernahar
BT94;Maguiresbridge
BT9;Malone
BT64;Mandeville
BT60;Markethill
BT34;Mayobridge
BT60;Middletown
BT40;Millbrook
BT22;Millisle
BT67;Moira
BT45;Moneymore
BT36;Mossley
BT79;Mountfield
BT81;Mournebeg
BT54;Moyarget
BT71;Moygashel
BT41;Muckamore
BT47;New Buildings
BT33;Newcastle
BT34;Newry
BT35;Newry
BT36;Newtownabbey
BT37;Newtownabbey
BT22;Newtownards
BT23;Newtownards
BT8;Newtownbreda
BT92;Newtownbutler
BT35;Newtownhamilton
BT78;Newtownstewart
BT29;Nutts Corner
BT78;Omagh
BT79;Omagh
BT7;Ormeau
BT47;Park
BT39;Parkgate
BT79;Plumbridge
BT70;Pomeroy
BT62;Portadown
BT63;Portadown
BT22;Portaferry
BT22;Portavogie
BT57;Portballintrae
BT44;Portglenone
BT56;Portrush
BT55;Portstewart
BT34;Poyntzpass
BT41;Randalstown
BT44;Rasharkin
BT34;Rathfriland
BT54;Rathlin Island
BT61;Richhill
BT51;Ringsend
BT70;Rock
BT48;Rosemount
BT79;Rosnamuck
BT34;Rostrevor
BT24;Saintfield
BT12;Sandy Row
BT63;Scarva
BT62;Scotch Street
BT81;Scraghey
BT30;Seaforde
BT32;Seapatrick
BT78;Seskanore
BT70;Seskilgreen
BT13;Shankill Road
BT79;Sheskinshule
BT82;Sion Mills
BT79;Sixmilecross
BT81;Spamount
BT13;Springmartin
BT71;Stewartstown
BT28;Stoneyford
BT4;Stormont
BT82;Strabane
BT39;Straid
BT30;Strangford
BT9;Stranmillis
BT46;Swatragh
BT4;Sydenham
BT62;Tandragee
BT9;Taughmonagh
BT39;Templepatrick
BT94;Tempo
BT48;The Collon
BT12;The Village
BT45;Tobermore
BT41;Toomebridge
BT54;Torr
BT30;Toye
BT78;Trillick
BT65;Tullygally
BT80;Tullyhogue
BT60;Tynan
BT7;University
BT46;Upperlands
BT56;Urbalreagh
BT82;Victoria Bridge
BT25;Waringsford
BT66;Waringstown
BT34;Warrenpoint
BT44;Waterfoot
BT47;Waterside
BT38;Whitehead
BT6;Woodstock
BT13;Woodvale
